"Rtn_Date","Target","Average","Variance","t_1","t_2","t_3","v_1","v_2","v_3","v_4","v_5","Cat","Estimate"
"2015-12-31",-0.0152674431032126,-0.001293,0.000133,-0.0154330085491278,-0.0126974326381895,0.0146006012024049,14736700,11566800,14188600,9449400,5893800,4,0.0151166313928628
"2016-01-08",-0.0892040707180601,-0.017252,0.000131,-0.0103643216080401,-0.0374849433201364,-0.0221696705782045,29953800,37680500,25491300,16709500,27882200,1,-0.0565495335371696
"2016-01-15",-0.0571397458042922,-0.010357,0.001932,-0.0910202143542934,0.0260107176433719,-0.023561811505508,76373900,48728200,34445700,28587700,27732400,3,-0.0124192039480203
"2016-01-22",0.00569611189971636,-0.009874,0.001703,0.00910316925151711,0.00236566407570127,-0.00704694654519955,25326500,30157400,39598200,28878100,76373900,2,-0.0339355264482611
"2016-01-29",0.0357708358837851,0.007604,0.000253,0.0350350695707398,0.00536732658058803,-0.00434208402331038,38311400,22028100,26384100,24754900,26441000,3,-0.0124192039480203
"2016-02-05",-0.0659579333565363,-0.004968,0.000654,-0.0245212966073228,0.014655760054533,-0.0154362085716848,27957500,29257800,44660100,24994300,19015100,3,-0.0124192039480203
"2016-02-12",-0.0138699172156133,-0.006341,0.000209,0.0148830621857923,-0.000354268508678701,-0.0201318646349138,19699000,28450200,27267800,22902600,28725900,1,-0.0565495335371696
"2016-02-19",0.00244115212565951,0.002927,0.000271,-0.024133276682529,-0.0016966067762676,0.0239749123010802,42056700,20623300,27691700,30705200,19699000,4,0.0151166313928628
"2016-02-26",0.0372629006524086,0.002295,0.000367,0.0060769072897735,0.0147310717803675,0.0135417365813102,19902200,17571400,21593600,26638200,23893100,4,0.0151166313928628
"2016-03-04",0.0274715282426412,0.005655,0.000125,0.00163502289077844,0.00130972490799852,0.00559762905506656,20356800,25625200,23779800,25502600,22903100,5,0.039667916999274
"2016-03-11",0.0362277481819826,0.006375,0.000107,0.0163200000000001,0.0123096529864057,0.0101440448345564,22811200,29584800,14707800,19104900,18858200,5,0.039667916999274
"2016-03-18",0.0285556336128671,0.007539,0.000129,0.0218886804252658,0.0091511199384311,0.00126385466034762,49934200,22865300,26298400,16927700,17438600,5,0.039667916999274
"2016-03-24",-0.0247844474374169,0.001061,0.000155,-0.00375003124999995,-0.00990099009900991,-0.000618429189857883,14211900,18765300,22200400,21760900,49934200,4,0.0151166313928628
"2016-04-01",0.0177216514123542,0.002367,8.8e-05,0.00309128303500983,-0.0110058395293746,0.0101914141386223,18049700,17880000,16598000,15313200,11433000,4,0.0151166313928628
"2016-04-08",-0.0255944682647374,-0.003707,8.8e-05,0.00253565776658182,-0.0165212894936853,0.00564269592476485,17031900,23738200,15740600,20080000,21581600,3,-0.0124192039480203
"2016-04-15",-0.00538913985826631,-0.000448,6.7e-05,-0.010691824235592,-0.0102708369041133,0.0084745760051923,28782800,21620900,19968100,16774200,19707700,3,-0.0124192039480203
"2016-04-22",0.00570524545015412,-0.000806,8.3e-05,-0.0103221773638467,-0.000937531249999957,0.0126582278481011,29625600,28431400,57629800,33619300,21566600,4,0.0151166313928628
"2016-04-29",-0.0439346496995435,-0.008933,0.000187,-0.0266795234111372,-0.0201574488188976,0.0111464968152866,36443700,25146400,20006200,20976400,19315700,3,-0.0124192039480203
"2016-05-06",-0.00795760140946498,-0.005732,0.000201,0.00468230769230771,0.00167504187604672,-0.0167984513570997,19632200,23393300,23278800,27111100,21086600,2,-0.0339355264482611
"2016-05-13",-0.00433698754302483,8.5e-05,7e-05,0.00504032258064502,-0.00998000698536283,-0.00265428011460778,19999600,20826700,15754200,17013800,16888300,2,-0.0339355264482611
"2016-05-20",0.00799205053133765,0.002246,0.000177,0.0175498149696189,-0.012004034678226,0.000333555703802446,22777300,21740900,22469900,25709900,21826100,3,-0.0124192039480203
"2016-05-27",0.046022379396706,0.010668,0.000103,0.00254048904414095,0.00318575989760306,0.0106245978951898,13341300,12692300,18359600,23699200,20881900,5,0.039667916999274
"2016-06-03",0.00158256083697862,0.001221,8e-06,-0.00440802896725445,0.00315855969677825,0.00221589110478004,15777500,14140100,17753500,23040200,13341300,5,0.039667916999274
"2016-06-10",0.0131952900042653,0.001469,1.2e-05,0.00313087028394254,0.00156795238532315,0.000313676295911947,35749100,11276800,12732100,19339100,15139600,5,0.039667916999274
"2016-06-17",-0.00877751703220916,-0.000916,6.1e-05,0.00220886708081847,0.00253084458934372,-0.0164902929835189,27047900,18547900,23783300,18754300,23004800,3,-0.0124192039480203
"2016-06-24",-0.0066340790874345,-0.00052,0.000514,-0.0436496790754968,0.0216785685451046,-0.000928186881188231,38094300,22048800,18304800,15476500,21961600,5,0.039667916999274
"2016-07-01",0.0373294047897604,-0.000868,0.000827,-0.00152435980257193,0.0272470717193862,0.0237255202396436,17084600,34528900,22771100,23693900,34965100,4,0.0151166313928628
"2016-07-08",0.0374575625349004,0.010589,0.000157,0.024096354695893,0.00697603861158513,0.00887395960832316,23341900,26119400,21070200,20107200,17084600,4,0.0151166313928628
"2016-07-15",0.0309855395359254,0.009216,0.000102,-0.00369321012235202,0.0054271068510201,0.00200340589591907,23661900,25296400,29120900,28064100,23820700,5,0.039667916999274
"2016-07-22",-0.0117597798646268,-0.002409,0.000387,0.0113802159323022,-0.0397870282932762,0.0153626449295792,33033700,63708600,42994200,20395400,19347200,3,-0.0124192039480203
"2016-07-29",0.00575378449058765,0.002872,5.6e-05,0.00258846706931237,-0.00172271020828529,-0.00740946138501009,18171200,21667400,23601800,29644400,20277700,3,-0.0124192039480203
"2016-08-05",0.00343640081240826,0.001035,7.5e-05,0.0115673214825145,0.00963509489051106,-0.00896993608304586,20046200,16362600,18388800,20057300,18824400,3,-0.0124192039480203
"2016-08-12",-0.0117902156569228,-2.3e-05,6e-05,-0.00317185697808531,0.00434407773947521,-0.0111683568824947,15708300,16364100,19579000,12578900,19497300,3,-0.0124192039480203
"2016-08-19",0.0191956038881328,0.002692,4.6e-05,0.0077209320068361,-0.00142772701313532,-0.00539616601522763,16417600,16085200,18221600,16320900,18931100,4,0.0151166313928628
"2016-08-26",0.000567262426559043,0.001389,2.7e-05,0.00484462809917363,-0.00170702692989877,-0.00706214649366399,14469900,12428000,16343500,18316000,14941400,3,-0.0124192039480203
"2016-09-02",0.0229896303785686,0.00465,5e-06,0.0016657967795668,0.00362220684375059,0.00532207268005402,16726700,18925800,20562700,15183200,15264300,5,0.039667916999274
"2016-09-09",-0.0178976531066184,-0.002022,0.000188,-0.0274423717739399,-0.000548546367212022,-0.00300795734208359,29457900,20356500,18495600,22337800,16726700,5,0.039667916999274
"2016-09-16",0.061022871091126,0.00577,0.000533,0.0303609674408927,0.0263897256145347,0.000280763822500418,74577900,23736000,14074500,23591300,22796600,4,0.0151166313928628
"2016-09-23",-0.0128240875632719,0.002952,0.000244,-0.00958721729926015,0.00267017349345333,0.00834684998241375,18062500,17013400,21233700,24796900,30531700,4,0.0151166313928628
"2016-09-30",0.014945594647004,0.000944,0.00014,0.0115219721329045,-0.0032051015813328,0.00699298009682625,24279300,17675000,19020800,22391600,25518800,4,0.0151166313928628
